日期,10年国债-中国,股票-中国上证,股指期货-中国,能源期货-中国,肉类期货-中国,作物期货-中国,软商品期货-中国,金属期货-中国,名义有效汇率-中国,央行基准利率-中国,PPI-中国,,,,,,,,,
2000-1-1,NaN,1534.99,NaN,NaN,NaN,NaN,NaN,NaN,76.84,2.16,80.49739596,,,,,,,,,
2000-2-1,NaN,1714.57,NaN,NaN,NaN,NaN,NaN,NaN,78.15,2.16,80.59654578,,,,,,,,,
2000-3-1,NaN,1800.22,NaN,NaN,NaN,NaN,NaN,NaN,77.96,2.16,80.42357942,,,,,,,,,
2000-4-1,NaN,1836.32,NaN,NaN,NaN,NaN,NaN,NaN,78.13,2.16,80.28231942,,,,,,,,,
2000-5-1,NaN,1894.55,NaN,NaN,NaN,NaN,NaN,NaN,79.71,2.16,81.12797921,,,,,,,,,
2000-6-1,NaN,1928.1,NaN,NaN,NaN,NaN,NaN,NaN,78.65,2.16,81.67122739,,,,,,,,,
2000-7-1,NaN,2023.53,NaN,NaN,NaN,NaN,NaN,NaN,79.15,2.16,82.16416454,,,,,,,,,
2000-8-1,NaN,2021.19,NaN,NaN,NaN,NaN,NaN,NaN,79.82,2.16,82.41045045,,,,,,,,,
2000-9-1,NaN,1910.16,NaN,NaN,NaN,NaN,NaN,NaN,80.45,2.16,83.00415145,,,,,,,,,
2000-10-1,NaN,1961.28,NaN,NaN,NaN,NaN,NaN,NaN,81.41,2.16,83.25360518,,,,,,,,,
2000-11-1,NaN,2070.61,NaN,NaN,NaN,NaN,NaN,NaN,81.83,2.16,83.35093437,,,,,,,,,
2000-12-1,NaN,2073.47,NaN,NaN,NaN,NaN,NaN,NaN,81.79,2.16,82.5304538,,,,,,,,,
2001-1-1,NaN,2065.6,NaN,NaN,NaN,NaN,NaN,NaN,82.02,2.16,81.64850873,,,,,,,,,
2001-2-1,NaN,1959.18,NaN,NaN,NaN,NaN,NaN,NaN,82.22,2.16,81.32191469,,,,,,,,,
2001-3-1,NaN,2112.77,NaN,NaN,NaN,NaN,NaN,NaN,83.75,2.16,80.58442658,,,,,,,,,
2001-4-1,NaN,2119.18,NaN,NaN,NaN,NaN,NaN,NaN,84.87,2.16,80.2020371,,,,,,,,,
2001-5-1,NaN,2214.25,NaN,NaN,NaN,NaN,NaN,NaN,84.76,2.16,80.96572325,,,,,,,,,
2001-6-1,NaN,2218.02,NaN,NaN,NaN,NaN,NaN,NaN,85.41,2.16,81.18120003,,,,,,,,,
2001-7-1,NaN,1920.31,NaN,NaN,NaN,NaN,NaN,NaN,85.79,2.16,81.0960304,,,,,,,,,
2001-8-1,NaN,1834.13,NaN,NaN,NaN,NaN,NaN,NaN,84.21,2.16,80.76224145,,,,,,,,,
2001-9-1,NaN,1764.86,NaN,NaN,NaN,NaN,NaN,NaN,83.8,2.97,80.59703106,,,,,,,,,
2001-10-1,NaN,1689.17,NaN,NaN,NaN,NaN,NaN,NaN,84.5,2.97,80.67274342,,,,,,,,,
2001-11-1,NaN,1747.99,NaN,NaN,NaN,NaN,NaN,NaN,84.89,2.97,80.2669498,,,,,,,,,
2001-12-1,1,1645.97,NaN,NaN,NaN,NaN,NaN,NaN,85.5,2.97,79.22923565,,,,,,,,,
2002-1-1,1.00254775,1491.67,NaN,NaN,NaN,NaN,NaN,NaN,86.66,2.97,78.21927136,,,,,,,,,
2002-2-1,1.004605392,1524.7,NaN,NaN,NaN,NaN,NaN,NaN,87.22,2.97,77.90639427,,,,,,,,,
2002-3-1,1.007126884,1603.91,NaN,NaN,NaN,NaN,NaN,NaN,86.67,2.97,77.36104951,,,,,,,,,
2002-4-1,1.009377546,1667.75,NaN,NaN,NaN,NaN,NaN,NaN,86.26,2.97,77.74785476,,,,,,,,,
2002-5-1,1.011015371,1515.73,NaN,NaN,NaN,NaN,NaN,NaN,84.59,2.97,78.83632473,,,,,,,,,
2002-6-1,1.013142198,1732.76,NaN,NaN,NaN,NaN,NaN,NaN,83.14,2.97,79.15167003,,,,,,,,,
2002-7-1,1.015439079,1651.59,NaN,NaN,NaN,NaN,NaN,NaN,81.44,2.97,79.2308217,,,,,,,,,
2002-8-1,1.017957053,1666.62,NaN,NaN,NaN,NaN,NaN,NaN,82.18,2.97,79.38928334,,,,,,,,,
2002-9-1,1.020647318,1581.62,NaN,NaN,NaN,NaN,NaN,NaN,82.59,2.97,79.46867262,,,,,,,,,
2002-10-1,1.022695191,1507.5,NaN,NaN,NaN,NaN,NaN,NaN,83.36,2.97,79.86601599,,,,,,,,,
2002-11-1,1.025507956,1434.18,NaN,NaN,NaN,NaN,NaN,NaN,82.3,2.97,79.945882,,,,,,,,,
2002-12-1,1.028291911,1357.65,NaN,NaN,NaN,NaN,NaN,NaN,82,2.97,79.54615259,,,,,,,,,
2003-1-1,1.030979099,1499.81,NaN,NaN,NaN,NaN,NaN,NaN,80.53,2.97,80.26206797,,,,,,,,,
2003-2-1,1.033096273,1511.93,NaN,NaN,NaN,NaN,NaN,NaN,80.5,2.97,81.14495071,,,,,,,,,
2003-3-1,1.035749744,1510.58,NaN,NaN,NaN,NaN,NaN,NaN,80.57,2.97,81.06380576,,,,,,,,,
2003-4-1,1.038234727,1521.44,NaN,NaN,NaN,NaN,NaN,NaN,80.52,2.97,80.73955054,,,,,,,,,
2003-5-1,1.040354791,1576.26,NaN,NaN,NaN,NaN,NaN,NaN,78.37,2.97,80.33585279,,,,,,,,,
2003-6-1,1.04275202,1486.02,NaN,NaN,NaN,NaN,NaN,NaN,78.24,2.97,80.09484523,,,,,,,,,
2003-7-1,1.045315996,1476.74,NaN,NaN,NaN,NaN,NaN,NaN,78.74,2.97,80.25503492,,,,,,,,,
2003-8-1,1.04747503,1421.98,NaN,NaN,NaN,NaN,NaN,NaN,79.26,2.97,80.41554499,,,,,,,,,
2003-9-1,1.050131987,1367.16,NaN,NaN,NaN,NaN,NaN,NaN,78.35,2.97,80.49596053,,,,,,,,,
2003-10-1,1.052429261,1348.3,NaN,NaN,NaN,NaN,NaN,NaN,76.66,2.97,80.73744842,,,,,,,,,
2003-11-1,1.055422321,1397.22,NaN,NaN,NaN,NaN,NaN,NaN,76.66,2.97,81.383348,,,,,,,,,
2003-12-1,1.058746837,1497.04,NaN,NaN,NaN,NaN,NaN,NaN,75.51,2.97,81.87164809,,,,,,,,,
2004-1-1,1.061360453,1590.73,NaN,NaN,NaN,NaN,NaN,NaN,74.53,2.97,82.93597952,,,,,,,,,
2004-2-1,1.064746175,1675.07,NaN,NaN,NaN,NaN,NaN,NaN,74.38,2.97,84.01414725,,,,,,,,,
2004-3-1,1.06818833,1741.62,NaN,NaN,NaN,NaN,NaN,NaN,75.27,3.24,84.26618969,,,,,,,,,
2004-4-1,1.071729059,1595.59,NaN,NaN,NaN,NaN,NaN,NaN,75.51,3.24,84.77178683,,,,,,,,,
2004-5-1,1.074735705,1555.91,NaN,NaN,NaN,NaN,NaN,NaN,76.64,3.24,84.9413304,,,,,,,,,
2004-6-1,1.078601346,1399.16,NaN,NaN,NaN,NaN,NaN,NaN,75.83,3.24,85.28109573,,,,,,,,,
2004-7-1,1.082782066,1386.2,NaN,NaN,NaN,NaN,NaN,NaN,75.5,3.24,85.62222011,,,,,,,,,
2004-8-1,1.087145658,1342.06,NaN,NaN,NaN,NaN,NaN,NaN,75.92,3.24,86.13595343,,,,,,,,,
2004-9-1,1.091827055,1396.7,NaN,NaN,NaN,NaN,NaN,NaN,75.72,3.24,87.08344892,,,,,,,,,
2004-10-1,1.095403813,1320.54,NaN,NaN,NaN,NaN,NaN,NaN,74.92,3.24,87.78011651,,,,,,,,,
2004-11-1,1.100187603,1340.77,NaN,NaN,NaN,NaN,NaN,NaN,72.96,3.24,88.21901709,,,,,,,,,
2004-12-1,1.104951436,1266.5,NaN,NaN,NaN,NaN,NaN,NaN,71.87,3.24,87.86614102,,,,,,,,,
2005-1-1,1.109378608,1191.82,NaN,NaN,NaN,NaN,NaN,NaN,72.12,3.24,87.95400716,,,,,,,,,
2005-2-1,1.112821741,1306,1029.38,NaN,NaN,NaN,NaN,NaN,72.18,3.24,88.56968521,,,,,,,,,
2005-3-1,1.117021195,1181.24,880.9,NaN,NaN,NaN,NaN,NaN,71.78,3.24,89.01253364,,,,,,,,,
2005-4-1,1.120801847,1159.15,802.28,NaN,NaN,NaN,NaN,NaN,72.58,3.24,89.99167151,,,,,,,,,
2005-5-1,1.12362152,1060.74,775.74,NaN,NaN,NaN,NaN,NaN,72.81,3.24,90.17165485,,,,,,,,,
2005-6-1,1.127038079,1080.94,781.83,NaN,NaN,NaN,NaN,NaN,73.94,3.24,89.81096823,,,,,,,,,
2005-7-1,1.130225347,1083.03,722.87,NaN,NaN,NaN,NaN,NaN,75.34,3.24,89.99059017,,,,,,,,,
2005-8-1,1.133349683,1162.8,850.73,NaN,NaN,NaN,NaN,NaN,75.64,3.24,90.6205243,,,,,,,,,
2005-9-1,1.136504409,1155.61,870.96,NaN,NaN,NaN,NaN,NaN,75.94,3.24,90.89238587,,,,,,,,,
2005-10-1,1.138714638,1092.82,812.45,NaN,NaN,NaN,NaN,NaN,77.08,3.24,91.16506303,,,,,,,,,
2005-11-1,1.141810057,1099.26,839.24,NaN,NaN,NaN,NaN,NaN,77.94,3.24,90.98273291,,,,,,,,,
2005-12-1,1.144881241,1161.06,842.74,NaN,NaN,NaN,NaN,NaN,77.61,3.24,90.61880197,,,,,,,,,
2006-1-1,1.147262038,1258.05,887.72,NaN,NaN,NaN,NaN,NaN,76.29,3.24,90.61880197,,,,,,,,,
2006-2-1,1.149661536,1299.03,929.38,NaN,NaN,NaN,NaN,NaN,76.81,3.24,91.25313359,,,,,,,,,
2006-3-1,1.152449965,1298.3,923.19,NaN,NaN,NaN,NaN,NaN,76.9,3.24,91.25313359,,,,,,,,,
2006-4-1,1.155312651,1440.22,965.29,NaN,NaN,NaN,NaN,NaN,76.37,3.24,91.70939926,,,,,,,,,
2006-5-1,1.157580162,1641.3,1224.03,NaN,NaN,NaN,NaN,NaN,74.72,3.24,92.44307445,,,,,,,,,
