日期,10年国债-德国,股票-德国DAX,股指期货-欧盟,国债政府债期货-欧盟,名义有效汇率-欧盟,央行基准利率-德国,PPI-德国
2000/1/1,NaN,6835.6,NaN,NaN,78.87,3,77.96610169
2000/2/1,NaN,7644.55,NaN,NaN,77.7,3.25,77.96610169
2000/3/1,NaN,7599.39,NaN,NaN,76.44,3.5,78.06580259
2000/4/1,NaN,7414.68,NaN,NaN,75.35,3.5,78.36490528
2000/5/1,NaN,7109.67,NaN,NaN,73.97,3.75,78.66400798
2000/6/1,NaN,6898.21,NaN,NaN,76.64,4.25,78.96311067
2000/7/1,NaN,7190.37,NaN,NaN,76.15,4.25,79.46161515
2000/8/1,NaN,7216.45,NaN,NaN,74.07,4.25,79.66101695
2000/9/1,NaN,6798.12,NaN,NaN,72.57,4.5,80.35892323
2000/10/1,NaN,7077.44,NaN,NaN,71.75,4.75,80.65802592
2000/11/1,NaN,6372.33,NaN,NaN,72.31,4.75,80.85742772
2000/12/1,NaN,6433.61,NaN,NaN,75.01,4.75,80.65802592
2001/1/1,NaN,6795.14,NaN,NaN,78.07,4.75,81.25623131
2001/2/1,NaN,6208.24,NaN,NaN,77.42,4.75,81.4556331
2001/3/1,NaN,5829.95,NaN,NaN,77.63,4.75,81.6550349
2001/4/1,NaN,6264.51,NaN,NaN,77.26,4.75,82.15353938
2001/5/1,NaN,6123.26,NaN,NaN,75.79,4.5,82.35294118
2001/6/1,NaN,6058.38,NaN,NaN,74.7,4.5,82.45264207
2001/7/1,NaN,5861.19,NaN,NaN,75.62,4.5,81.95413759
2001/8/1,NaN,5188.17,NaN,NaN,78.01,4.5,81.85443669
2001/9/1,1,4308.15,NaN,NaN,78.73,3.75,81.95413759
2001/10/1,1.00385,4559.13,NaN,NaN,78.81,3.75,81.15653041
2001/11/1,1.007581736,4989.91,NaN,NaN,77.47,3.25,80.85742772
2001/12/1,1.010807197,5160.1,NaN,NaN,77.87,3.25,80.75772682
2002/1/1,1.014909007,5107.61,NaN,NaN,77.48,3.25,81.05682951
2002/2/1,1.018696847,5039.08,NaN,NaN,76.88,3.25,81.05682951
2002/3/1,1.022874717,5397.29,NaN,NaN,77.02,3.25,81.4556331
2002/4/1,1.026724349,5041.2,NaN,NaN,77.28,3.25,81.25623131
2002/5/1,1.030958099,4818.3,NaN,NaN,79.06,3.25,81.25623131
2002/6/1,1.035276524,4382.56,NaN,NaN,81.42,3.25,81.25623131
2002/7/1,1.039481398,3700.14,NaN,NaN,83.19,3.25,81.05682951
2002/8/1,1.043460958,3712.94,NaN,NaN,82.73,3.25,80.95712861
2002/9/1,1.0469471,2769.03,NaN,NaN,82.95,3.25,81.05682951
2002/10/1,1.050854565,3152.85,NaN,NaN,83.35,3.25,81.25623131
2002/11/1,1.054793184,3320.32,NaN,NaN,83.99,3.25,81.05682951
2002/12/1,1.0579264,2892.63,NaN,NaN,84.92,2.75,81.15653041
2003/1/1,1.061620727,2747.83,NaN,NaN,87.3,2.75,82.35294118
2003/2/1,1.06480961,2547.05,NaN,NaN,88.5,2.75,82.65204387
2003/3/1,1.068375455,2423.87,NaN,NaN,89.12,2.5,82.75174477
2003/4/1,1.071746503,2942.04,NaN,NaN,89.27,2.5,82.65204387
2003/5/1,1.075019389,2982.68,NaN,NaN,92.54,2.5,82.45264207
2003/6/1,1.078284121,3220.58,NaN,NaN,92.91,2,82.45264207
2003/7/1,1.081879183,3487.86,NaN,NaN,91.56,2,82.55234297
2003/8/1,1.085624545,3484.58,NaN,NaN,90.49,2,82.55234297
2003/9/1,1.089105329,3256.78,NaN,NaN,90.42,2,82.65204387
2003/10/1,1.092965339,3655.99,NaN,NaN,92.28,2,82.65204387
2003/11/1,1.096969691,3745.95,NaN,NaN,92.32,2,82.65204387
2003/12/1,1.100247087,3965.16,NaN,NaN,95.05,2,82.65204387
2004/1/1,1.103752729,4058.6,NaN,NaN,96.09,2,82.45264207
2004/2/1,1.107551018,4018.16,NaN,NaN,96.01,2,82.55234297
2004/3/1,1.111185471,3856.7,NaN,NaN,94.15,2,83.05084746
2004/4/1,1.114651191,3985.21,NaN,NaN,92.6,2,83.34995015
2004/5/1,1.118279865,3921.41,NaN,NaN,93.65,2,83.64905284
2004/6/1,1.122348879,4052.73,NaN,NaN,93.66,2,83.54935194
2004/7/1,1.126330242,3895.61,NaN,NaN,94.01,2,84.14755733
2004/8/1,1.13018195,3785.21,NaN,NaN,93.89,2,84.44666002
2004/9/1,1.133992461,3892.9,NaN,NaN,94.18,2,84.44666002
2004/10/1,1.137372662,3960.25,NaN,NaN,95.22,2,85.3439681
2004/11/1,1.140985113,4126,NaN,NaN,96.48,2,84.94516451
2004/12/1,1.144153,4256.08,NaN,NaN,97.56,2,85.0448654
2005/1/1,1.147574109,4254.85,NaN,119.93,96.22,2,85.74277168
2005/2/1,1.150672993,4350.49,4330,118.43,95.3,2,85.94217348
2005/3/1,1.153928648,4348.77,4362.5,118.61,96.08,2,86.44067797
2005/4/1,1.157146535,4184.84,4208,120.69,95.32,2,86.93918245
2005/5/1,1.160233517,4460.63,4484,122.31,94.24,2,86.93918245
2005/6/1,1.163319123,4586.28,4622.5,123.5,91.7,2,87.33798604
2005/7/1,1.166449467,4886.5,4899.5,122.45,91.79,2,87.93619143
2005/8/1,1.169610714,4829.69,4839.5,123.95,92.28,2,88.13559322
2005/9/1,1.172620689,5044.12,5066.5,122.53,91.8,2,88.43469591
2005/10/1,1.17552505,4929.07,4927,120.42,91.36,2,88.9332004
2005/11/1,1.178922495,5193.39,5208,120.27,90.55,2,88.8334995
2005/12/1,1.181945406,5408.26,5438,121.84,90.55,2.25,89.13260219
2006/1/1,1.185086555,5674.15,5696.5,120.43,91.08,2.25,90.42871386
2006/2/1,1.188362473,5796.04,5804,120.39,90.19,2.25,91.02691924
2006/3/1,1.191975783,5970.08,6001.5,117.17,90.92,2.5,91.42572283
2006/4/1,1.195147613,6009.89,6027.5,115.58,91.93,2.5,92.22333001
2006/5/1,1.198941341,5692.86,5699,116.05,93.54,2.5,92.4227318
2006/6/1,1.202924642,5683.31,5726.5,115.32,94.09,2.75,92.4227318
2006/7/1,1.20695062,5681.97,5704,116.8,94.18,2.75,93.02093719
2006/8/1,1.210866213,5859.57,5861,118.27,94.15,3,93.32003988
2006/9/1,1.214488721,6004.33,6045,118.1,93.98,3,92.92123629
2006/10/1,1.218162109,6268.92,6293.5,117.82,93.33,3.25,92.92123629
2006/11/1,1.221945795,6309.19,6320,118.48,93.86,3.25,92.82153539
2006/12/1,1.225122411,6596.92,6652.5,116.03,94.8,3.5,92.92123629
2007/1/1,1.229225179,6789.11,6814.5,114.97,94.07,3.5,92.92123629
2007/2/1,1.232998528,6715.44,6748,116.21,94.38,3.5,92.92123629
2007/3/1,1.237052945,6917.03,6969,114.92,95.09,3.75,92.92123629
2007/4/1,1.240591543,7408.87,7451.5,114.15,95.77,3.75,93.02093719
2007/5/1,1.244633804,7883.04,7890,112.05,95.6,3.75,93.41974078
