日期,10年国债-日本,股票-日本日经,股指期货-日本,国债政府债期货-日本,能源期货-日本,作物期货-日本,软商品期货-日本,名义有效汇率-日本,央行基准利率-日本,PPI-日本
2000/1/1,1,19539.7,NaN,NaN,NaN,NaN,NaN,102.99,0,96.90927218
2000/2/1,1.001287579,19959.52,NaN,NaN,NaN,NaN,NaN,99.75,0,96.90927218
2000/3/1,1.002717037,20337.32,NaN,NaN,NaN,NaN,NaN,103.04,0,96.80957129
2000/4/1,1.004167016,17973.7,NaN,NaN,NaN,NaN,NaN,104.32,0,96.61016949
2000/5/1,1.005630799,16332.45,NaN,NaN,NaN,NaN,NaN,103.32,0,96.4107677
2000/6/1,1.006867543,17411.05,NaN,NaN,NaN,NaN,NaN,104.57,0,96.4107677
2000/7/1,1.008273076,15727.49,NaN,NaN,NaN,NaN,NaN,103.28,0,96.51046859
2000/8/1,1.009632845,16861.26,NaN,NaN,NaN,NaN,NaN,103.82,0.25,96.51046859
2000/9/1,1.011103982,15747.26,NaN,NaN,NaN,NaN,NaN,106.38,0.25,96.3110668
2000/10/1,1.01260515,14539.6,NaN,NaN,NaN,NaN,NaN,105.79,0.25,95.71286142
2000/11/1,1.014071549,14648.51,NaN,NaN,NaN,NaN,NaN,105.93,0.25,95.51345962
2000/12/1,1.01541504,13785.69,NaN,NaN,NaN,NaN,NaN,102.18,0.25,95.51345962
2001/1/1,1.016789839,13843.55,NaN,NaN,NaN,NaN,NaN,97.49,0.25,95.11465603
2001/2/1,1.017889474,12883.54,NaN,NaN,NaN,NaN,NaN,98.29,0.15,95.11465603
2001/3/1,1.019018992,12999.7,NaN,NaN,NaN,NaN,NaN,95.07,0.15,94.91525424
2001/4/1,1.019974284,13934.32,NaN,NaN,NaN,NaN,NaN,94.27,0,94.61615155
2001/5/1,1.021064118,13262.14,NaN,NaN,NaN,NaN,NaN,95.96,0,94.41674975
2001/6/1,1.022059804,12969.05,NaN,NaN,NaN,NaN,NaN,96.34,0,94.21734796
2001/7/1,1.023064059,11860.77,NaN,NaN,NaN,NaN,NaN,94.6,0,94.11764706
2001/8/1,1.024132889,10713.51,NaN,NaN,NaN,NaN,NaN,95.51,0,93.91824526
2001/9/1,1.025275911,9774.68,NaN,NaN,NaN,NaN,NaN,97.67,0,93.81854437
2001/10/1,1.02639077,10366.34,NaN,NaN,NaN,NaN,NaN,96.15,0,93.12063809
2001/11/1,1.027508272,10697.44,NaN,NaN,NaN,NaN,NaN,95.6,0,93.02093719
2001/12/1,1.028604397,10542.62,NaN,NaN,NaN,NaN,NaN,91.95,0,92.92123629
2002/1/1,1.029651084,9997.8,NaN,NaN,NaN,NaN,NaN,88.52,0,92.6221336
2002/2/1,1.030711234,10587.83,NaN,NaN,NaN,NaN,NaN,88.19,0,92.6221336
2002/3/1,1.031838653,11024.94,NaN,NaN,NaN,NaN,NaN,89.65,0,92.6221336
2002/4/1,1.033020477,11492.54,NaN,NaN,NaN,NaN,NaN,89.42,0,92.4227318
