日期,10年国债-英国,股票-英国富时,股指期货-英国,国债政府债期货-英国,能源期货-英国,作物期货-英国,软商品期货-英国,金属期货-英国,原油期货-英国Brent,名义有效汇率-英国,央行基准利率-英国,PPI-英国
2000/1/1,1,6268.5,NaN,NaN,NaN,NaN,NaN,NaN,25.2215,130.21,5.6625,73.3
2000/2/1,1.004695556,6232.6,NaN,NaN,NaN,NaN,NaN,NaN,27.0281,129.76,5.916666667,73.4
2000/3/1,1.009192162,6540.2,NaN,NaN,NaN,NaN,NaN,NaN,27.2726,129.31,6,73.6
2000/4/1,1.013219843,6327.4,NaN,NaN,NaN,NaN,NaN,NaN,23.1361,131.07,6,73.6
2000/5/1,1.017385399,6359.3,NaN,NaN,NaN,NaN,NaN,NaN,27.4795,128.52,6,73.6
2000/6/1,1.021802293,6312.7,NaN,NaN,NaN,NaN,NaN,NaN,29.7609,125.13,6,74.1
2000/7/1,1.026263174,6365.3,NaN,NaN,NaN,NaN,NaN,NaN,28.6662,126.05,6,74.2
2000/8/1,1.030624313,6672.7,NaN,NaN,NaN,NaN,NaN,NaN,30.2255,127.32,6,73.9
2000/9/1,1.035251239,6294.2,NaN,NaN,NaN,NaN,NaN,NaN,32.3305,125.4,6,74.2
2000/10/1,1.039752798,6438.4,NaN,NaN,NaN,NaN,NaN,NaN,31.3859,128.81,6,74.4
2000/11/1,1.044170274,6142.2,NaN,NaN,NaN,NaN,NaN,NaN,32.3823,126.82,6,74.4
2000/12/1,1.048037222,6222.5,NaN,NaN,NaN,NaN,NaN,NaN,25.97,126.86,6,74.1
2001/1/1,1.052270495,6297.5,NaN,NaN,NaN,NaN,NaN,NaN,25.8391,125.39,6,73.5
2001/2/1,1.056501332,5917.9,NaN,NaN,NaN,NaN,NaN,NaN,27.6345,124.77,5.8125,73.2
2001/3/1,1.060641901,5633.7,NaN,NaN,NaN,NaN,NaN,NaN,25.4486,125.96,5.75,73.4
2001/4/1,1.064597792,5966.9,NaN,NaN,NaN,NaN,NaN,NaN,26.3958,127.09,5.539473684,73.7
2001/5/1,1.068741326,5796.1,NaN,NaN,NaN,NaN,NaN,NaN,28.5824,127.44,5.321428571,74
2001/6/1,1.073368154,5642.5,NaN,NaN,NaN,NaN,NaN,NaN,27.8648,127.23,5.25,74.1
2001/7/1,1.078022721,5529.1,NaN,NaN,NaN,NaN,NaN,NaN,25.2177,128.2,5.25,73.9
2001/8/1,1.082306651,5345,NaN,NaN,NaN,NaN,NaN,NaN,25.7582,126.57,5.011363636,73.7
2001/9/1,1.086805051,4903.4,NaN,NaN,NaN,NaN,NaN,NaN,26.1305,128.19,4.8875,73.6
