日期,10年国债-美国,股票-美国纳斯达克,股指期货-美国,国债政府债期货-美国,能源期货-美国,肉类期货-美国,作物期货-美国,软商品期货-美国,金属期货-美国,原油期货-美国WTI,黄金期货-美国COMEX,名义有效汇率-美国,央行基准利率-美国,PPI指数-美国
2000/1/1,1,3940.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0142,286.1118,91.31,5.45,66.82291667
2000/2/1,1.005174206,4696.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.2975,302.415,92.53,5.73,67.60416667
2000/3/1,1.010414952,4572.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.8943,287.1478,92.5,5.85,68.125
2000/4/1,1.015206844,3860.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.5368,281.9684,92.99,6.02,68.07291667
2000/5/1,1.020418607,3400.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.8059,275.8864,95.22,6.27,68.54166667
2000/6/1,1.025603416,3966.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,288.3273,94.24,6.53,69.6875
2000/7/1,1.030531196,3766.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.7163,281.8778,94.31,6.54,69.63541667
2000/8/1,1.0355345,4206.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.1378,279.5348,95.03,6.5,69.21875
2000/9/1,1.040300424,3672.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.867,276.905,96.06,6.52,70.15625
2000/10/1,1.045049159,3369.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.9323,272.1182,97.55,6.51,70.52083333
2000/11/1,1.049801758,2597.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.263,266.6632,98.27,6.51,70.3125
2000/12/1,1.054168017,2470.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.3985,273.575,97.53,6.4,70.9375
2001/1/1,1.058495696,2772.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.2595,266.2095,97.45,5.98,72.91666667
2001/2/1,1.06276849,2151.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.6447,263.5053,97.95,5.49,71.5625
2001/3/1,1.067095246,1840.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.2714,262.9,99.62,5.31,70.78125
2001/4/1,1.071449164,2116.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.621,261.795,100.48,4.8,71.04166667
2001/5/1,1.076053678,2110.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.6841,272.5682,100.21,4.21,71.25
2001/6/1,1.080792157,2161.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5848,271.7905,100.81,3.97,70.57291667
2001/7/1,1.08529382,2027.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.4671,268.1952,101.21,3.77,69.47916667
2001/8/1,1.089789925,1805.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.3091,275.4739,99.62,3.65,69.47916667
2001/9/1,1.093442538,1498.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.0341,285.9,99.92,3.07,69.42708333
2001/10/1,1.097422906,1690.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.2126,284.1957,100.59,2.49,67.86458333
2001/11/1,1.101290075,1930.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6695,276.9167,101.05,2.09,67.60416667
2001/12/1,1.105736752,1950.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4037,276.3667,101.14,1.82,66.71875
2002/1/1,1.110165982,1934.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.729,282.0476,102.29,1.73,66.92708333
2002/2/1,1.11409025,1731.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7558,296.7632,102.86,1.74,66.875
2002/3/1,1.118762356,1845.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.442,294.665,102.26,1.73,67.60416667
2002/4/1,1.123215652,1688.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.2582,304.2045,101.91,1.75,68.125
2002/5/1,1.127839556,1615.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9532,314.9864,100.62,1.75,68.125
2002/6/1,1.132469807,1463.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.546,321.78,99.46,1.75,68.17708333
2002/7/1,1.136670204,1328.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.94,313.915,98.04,1.73,68.33333333
